89141:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:        260744       43678040  [B (java.base@25.0.3)
   2:         35515       20420088  [J (java.base@25.0.3)
   3:         90207        9967224  [Ljava.lang.Object; (java.base@25.0.3)
   4:        176360        5643520  java.util.HashMap$Node (java.base@25.0.3)
   5:        227266        5454384  java.lang.String (java.base@25.0.3)
   6:         28731        3613328  java.lang.Class (java.base@25.0.3)
   7:         32366        3366064  net.minecraft.world.level.block.state.BlockState
   8:         64992        3119616  net.minecraft.util.ThreadingDetector
   9:        128282        3078768  net.minecraft.core.BlockPos
  10:         20999        2875120  [Ljava.util.HashMap$Node; (java.base@25.0.3)
  11:        116167        2788008  net.minecraft.world.level.levelgen.structure.templatesystem.StructureTemplate$StructureBlockInfo
  12:         48056        2691136  net.minecraft.world.phys.shapes.SubShape
  13:         21451        2400304  [I (java.base@25.0.3)
  14:         38092        1968864  [D (java.base@25.0.3)
  15:         41236        1649440  java.util.LinkedHashMap$Entry (java.base@25.0.3)
  16:         51435        1645920  java.util.concurrent.ConcurrentHashMap$Node (java.base@25.0.3)
  17:         64992        1559808  net.minecraft.world.level.chunk.PalettedContainer
  18:         64992        1559808  net.minecraft.world.level.chunk.PalettedContainer$Data
  19:         56235        1552608  [Lnet.minecraft.world.level.block.state.StateHolder;
  20:         48056        1537792  net.minecraft.world.phys.shapes.SliceShape
  21:         37847        1513880  it.unimi.dsi.fastutil.objects.Object2ObjectArrayMap
  22:         32004        1142648  [Ljava.lang.Comparable; (java.base@25.0.3)
  23:         23451        1125648  java.util.HashMap (java.base@25.0.3)
  24:         31032        1119320  [[Lnet.minecraft.world.level.block.state.StateHolder;
  25:         32496        1039872  net.minecraft.world.level.chunk.LevelChunkSection
  26:         20773         997104  java.lang.invoke.MemberName (java.base@25.0.3)
  27:         39189         940536  java.util.ArrayList (java.base@25.0.3)
  28:         28617         915744  net.minecraft.world.level.biome.Climate$Parameter
  29:         38000         912000  it.unimi.dsi.fastutil.doubles.DoubleArrayList
  30:         21620         864800  jdk.nio.zipfs.ZipFileSystem$IndexNode (jdk.zipfs@25.0.3)
  31:         52397         838352  net.minecraft.util.ZeroBitStorage
  32:         52397         838352  net.minecraft.world.level.chunk.SingleValuePalette
  33:         25729         823328  com.mojang.datafixers.types.templates.Product$ProductType
  34:         16867         809616  net.minecraft.util.SimpleBitStorage
  35:         14234         797104  org.spongepowered.asm.mixin.transformer.ClassInfo$Method
  36:         11319         724416  java.util.LinkedHashMap (java.base@25.0.3)
  37:         16968         678744  [Lnet.minecraft.world.phys.shapes.VoxelShape;
  38:         20548         657536  com.mojang.datafixers.types.templates.Tag$TagType
  39:         11186         626416  net.minecraft.world.phys.shapes.BitSetDiscreteVoxelShape
  40:         19530         624960  com.mojang.datafixers.types.templates.Sum$SumType
  41:         19053         609696  com.mojang.datafixers.types.templates.Named$NamedType
  42:         10663         597128  org.objectweb.asm.Label
  43:         35251         564016  com.mojang.datafixers.types.templates.Const
  44:         13822         552880  java.lang.invoke.MethodType (java.base@25.0.3)
  45:         22671         544104  com.google.common.collect.ImmutableMapEntry
  46:         22118         530832  java.util.ImmutableCollections$List12 (java.base@25.0.3)
  47:         14867         475744  jdk.internal.util.WeakReferenceKey (java.base@25.0.3)
  48:         19485         467640  net.minecraft.resources.Identifier
  49:         18988         455712  net.minecraft.world.level.chunk.DataLayer
  50:          9119         437712  [Lnet.minecraft.world.level.biome.Climate$Parameter;
  51:         10918         436720  java.lang.invoke.BoundMethodHandle$Species_L (java.base@25.0.3)
  52:         12777         408864  net.minecraft.world.phys.shapes.ArrayVoxelShape
  53:         10217         408680  net.minecraft.core.Holder$Reference
  54:           724         401264  [F (java.base@25.0.3)
  55:         16686         400464  java.util.concurrent.CompletableFuture (java.base@25.0.3)
  56:          9884         395360  java.lang.invoke.DirectMethodHandle (java.base@25.0.3)
  57:           377         395136  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@25.0.3)
  58:          1379         383256  [C (java.base@25.0.3)
  59:         11925         381600  com.google.common.collect.MapMakerInternalMap$WeakValueReferenceImpl
  60:         15780         378720  java.util.BitSet (java.base@25.0.3)
  61:          9432         377280  org.objectweb.asm.tree.VarInsnNode
  62:         15471         371304  java.util.ImmutableCollections$ListN (java.base@25.0.3)
  63:         15364         368736  com.mojang.datafixers.types.templates.Sum
  64:         11505         368160  org.spongepowered.asm.mixin.transformer.ClassInfo$FrameData
  65:          7605         365040  net.minecraft.world.level.biome.Climate$ParameterPoint
  66:         15080         361920  java.lang.invoke.ResolvedMethodName (java.base@25.0.3)
  67:         12779         359760  [Ljava.lang.Class; (java.base@25.0.3)
  68:           585         359384  [Ljdk.internal.vm.FillerElement; (java.base@25.0.3)
  69:         11215         358880  net.minecraft.world.ticks.SavedTick
  70:          8945         357800  org.objectweb.asm.tree.LabelNode
  71:         14748         353952  net.minecraft.server.PlayerAdvancements$TriggerInstanceKey
  72:         14438         346512  com.mojang.datafixers.types.templates.Product
  73:          6113         342328  org.objectweb.asm.tree.MethodInsnNode
  74:         14155         339720  com.mojang.datafixers.types.templates.Tag
  75:          3731         328328  java.lang.reflect.Method (java.base@25.0.3)
  76:          6420         308160  org.objectweb.asm.tree.LineNumberNode
  77:         11925         286200  net.minecraft.resources.ResourceKey
  78:         11925         286200  net.minecraft.resources.ResourceKey$InternKey
  79:         11437         274488  net.minecraft.world.level.chunk.LinearPalette
  80:          6354         271192  [Z (java.base@25.0.3)
  81:         16865         269840  java.util.Optional (java.base@25.0.3)
  82:          1581         268896  [Lcom.google.common.collect.ImmutableMapEntry;
  83:          2209         247408  [Lit.unimi.dsi.fastutil.shorts.ShortSet;
  84:          2209         247408  net.minecraft.server.level.ChunkHolder
  85:         10122         242928  net.minecraft.core.component.DataComponentInitializers$BakedEntry
  86:         14756         236096  net.minecraft.advancements.CriterionProgress
  87:          9788         234912  com.google.common.collect.ImmutableMapEntry$NonTerminalImmutableMapEntry
  88:          9535         228840  com.mojang.datafixers.schemas.Schema$$Lambda/0x00001000017ab060
  89:          7000         224000  com.mojang.serialization.MapCodec$2
  90:          5556         222240  net.minecraft.world.ticks.ScheduledTick
  91:         13773         220368  java.lang.Object (java.base@25.0.3)
  92:          5424         216960  org.objectweb.asm.tree.InsnNode
  93:          8866         212784  com.mojang.datafixers.util.Pair
  94:          4330         207840  java.lang.invoke.DirectMethodHandle$Constructor (java.base@25.0.3)
  95:          8481         203544  com.google.common.collect.MapMakerInternalMap$StrongKeyWeakValueEntry
  96:          5064         202560  java.util.EnumMap (java.base@25.0.3)
  97:          4216         202368  org.spongepowered.asm.mixin.transformer.ClassInfo$Field
  98:          4214         202272  org.objectweb.asm.Frame
  99:          6066         194112  net.sorakaze.aureum.dedup.StateCacheDeduper$CacheKey
 100:          7599         182376  net.minecraft.world.level.biome.Climate$RTree$Leaf
 101:          2969         166264  net.minecraft.world.entity.ai.attributes.AttributeInstance
 102:         10326         165216  com.mojang.datafixers.types.templates.RecursivePoint
 103:          5147         164704  com.mojang.datafixers.types.templates.CompoundList$CompoundListType
 104:          6752         162048  net.minecraft.advancements.AdvancementProgress
 105:         10031         160496  net.minecraft.server.level.ChunkResult$Success
 106:          1354         151648  [Lit.unimi.dsi.fastutil.shorts.ShortList;
 107:          1354         151648  [Lnet.minecraft.world.level.chunk.LevelChunkSection;
 108:          6066         145584  net.minecraft.world.level.block.state.BlockBehaviour$BlockStateBase$Cache
 109:          1888         143488  [Ljava.lang.ref.SoftReference; (java.base@25.0.3)
 110:          5905         141720  com.mojang.serialization.codecs.RecordCodecBuilder
 111:          5797         139128  com.mojang.datafixers.types.templates.List$ListType
 112:          5793         139032  net.minecraft.core.HolderSet$Direct
 113:          1125         135000  org.objectweb.asm.tree.MethodNode
 114:          1196         133952  net.minecraft.world.level.block.state.BlockBehaviour$Properties
 115:          8291         132656  java.util.HashMap$EntrySet (java.base@25.0.3)
 116:          2714         130272  it.unimi.dsi.fastutil.objects.ObjectOpenCustomHashSet
 117:          3184         127360  org.objectweb.asm.tree.LocalVariableNode
 118:          7664         122624  net.minecraft.world.item.crafting.display.SlotDisplay$ItemSlotDisplay
 119:          2536         121728  org.objectweb.asm.tree.FieldInsnNode
 120:          3000         120000  com.mojang.datafixers.types.templates.RecursivePoint$RecursivePointType
 121:          2395         114960  net.minecraft.world.level.storage.loot.entries.LootItem
 122:          4067         113800  [Lnet.minecraft.util.parsing.packrat.Term;
 123:          3444         110208  com.google.common.collect.MapMakerInternalMap$StrongKeyWeakValueEntry$LinkedStrongKeyWeakValueEntry
 124:          1722         110208  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap
 125:          1396         100512  java.lang.reflect.Field (java.base@25.0.3)
 126:          4173         100152  com.mojang.serialization.Codec$$Lambda/0x000010000127d698
 127:          4173         100152  com.mojang.serialization.codecs.FieldDecoder
 128:          4173         100152  com.mojang.serialization.codecs.FieldEncoder
 129:          1545          98880  it.unimi.dsi.fastutil.objects.Reference2ObjectOpenHashMap
 130:          2915          93280  net.minecraft.network.chat.MutableComponent
 131:          2279          91160  jdk.internal.util.SoftReferenceKey (java.base@25.0.3)
 132:          3694          88656  org.objectweb.asm.Edge
 133:          3689          88536  net.minecraft.advancements.triggers.Criterion
 134:          3665          87960  com.mojang.datafixers.types.templates.Named
 135:          5491          87856  java.util.HashSet (java.base@25.0.3)
 136:          3514          84336  net.minecraft.util.parsing.packrat.DelayedException$$Lambda/0x000010000164f350
 137:          2570          82240  java.lang.invoke.LambdaForm$Name (java.base@25.0.3)
 138:          1695          81360  it.unimi.dsi.fastutil.objects.ReferenceOpenHashSet
 139:          5060          80960  net.minecraft.world.item.crafting.display.SlotDisplay$Composite
 140:          2521          80672  net.minecraft.network.chat.contents.TranslatableContents
 141:           625          80000  net.minecraft.world.level.chunk.ImposterProtoChunk
 142:           625          80000  net.minecraft.world.level.chunk.LevelChunk
 143:          1955          78200  org.objectweb.asm.tree.TypeInsnNode
 144:          4689          75024  net.minecraft.world.level.storage.loot.providers.number.ConstantValue
 145:           846          74448  org.spongepowered.asm.mixin.transformer.ClassInfo
 146:            19          74032  [Ljava.nio.ByteBuffer; (java.base@25.0.3)
 147:          3000          72000  com.mojang.datafixers.types.families.RecursiveTypeFamily$$Lambda/0x00001000017c1528
 148:          1499          71952  org.objectweb.asm.tree.FrameNode
 149:          2992          71808  com.mojang.serialization.MapDecoder$4
 150:          4460          71360  java.util.concurrent.atomic.AtomicReference (java.base@25.0.3)
 151:          2970          71280  net.minecraft.core.component.DataComponentInitializers$Initializer$$Lambda/0x0000100001643a50
 152:           694          70384  [S (java.base@25.0.3)
 153:          4375          70000  com.mojang.datafixers.types.templates.List
 154:          2916          69984  net.minecraft.world.level.levelgen.Heightmap
 155:          2907          69768  net.minecraft.world.entity.ai.attributes.AttributeSupplier$Builder$$Lambda/0x0000100001d02418
 156:          1433          68784  com.google.common.collect.SingletonImmutableBiMap
 157:          2827          67848  com.mojang.serialization.MapEncoder$1
 158:          1688          67520  net.minecraft.advancements.Advancement
 159:          1542          66400  [Ljava.lang.String; (java.base@25.0.3)
